metric_accuracy,metric_precision,metric_recall,metric_AUC,model_name,dataset_size,dense_out_features,learning_rate,scheduler,warmup_steps,freeze_embedding_model,batch_size,num_epochs
0.879,0.6933,0.85,0.8688,sentence-transformers/all-mpnet-base-v2,102400,512,0.0001,warmuplinear,500,True,32,8
0.8783,0.7077,0.8022,0.8516,all-MiniLM-L12-v2,102400,512,0.0001,warmuplinear,500,False,32,8
0.8781,0.6898,0.8539,0.8696,sentence-transformers/all-mpnet-base-v2,51200,256,0.0001,warmuplinear,500,True,32,8
0.8776,0.6898,0.85,0.8679,BAAI/bge-base-en-v1.5,102400,512,0.0001,warmuplinear,500,True,32,8
0.8753,0.6833,0.8535,0.8676,sentence-transformers/all-mpnet-base-v2,25600,256,0.0001,warmuplinear,500,True,32,8
0.8753,0.683,0.8543,0.868,BAAI/bge-base-en-v1.5,51200,512,0.0001,warmuplinear,500,True,32,8
0.8747,0.7028,0.7887,0.8445,sentence-transformers/all-distilroberta-v1,102400,512,0.0001,warmuplinear,500,False,32,8
0.8743,0.7311,0.7174,0.8193,sentence-transformers/all-mpnet-base-v2,100,512,0.0001,warmuplinear,500,False,32,8
0.8736,0.6937,0.8065,0.8501,BAAI/bge-base-en-v1.5,102400,256,0.0001,warmuplinear,500,False,32,8
0.8733,0.6797,0.8496,0.865,sentence-transformers/all-mpnet-base-v2,25600,512,0.0001,warmuplinear,500,False,32,8
0.873,0.6861,0.8257,0.8564,BAAI/bge-base-en-v1.5,51200,512,0.0001,warmuplinear,500,False,32,8
0.8722,0.6751,0.8565,0.8667,sentence-transformers/all-mpnet-base-v2,12800,512,0.0001,warmuplinear,500,True,32,8
0.8713,0.6909,0.797,0.8452,all-MiniLM-L12-v2,51200,512,0.0001,warmuplinear,500,False,32,8
0.8708,0.6839,0.8148,0.8512,sentence-transformers/all-distilroberta-v1,51200,256,0.0001,warmuplinear,500,False,32,8
0.8708,0.6785,0.833,0.8576,sentence-transformers/all-distilroberta-v1,102400,256,0.0001,warmuplinear,500,True,32,8
0.8704,0.6738,0.8461,0.8619,BAAI/bge-base-en-v1.5,25600,256,0.0001,warmuplinear,500,True,32,8
0.8687,0.6661,0.8604,0.8658,BAAI/bge-base-en-v1.5,12800,512,0.0001,warmuplinear,500,True,32,8
0.8685,0.6747,0.827,0.8539,all-MiniLM-L12-v2,25600,256,0.0001,warmuplinear,500,False,32,8
0.8683,0.6623,0.8722,0.8697,sentence-transformers/all-mpnet-base-v2,12800,256,0.0001,warmuplinear,500,False,32,8
0.868,0.6692,0.8426,0.8591,all-MiniLM-L12-v2,102400,512,0.0001,warmuplinear,500,True,32,8
0.8676,0.6734,0.8239,0.8523,sentence-transformers/all-distilroberta-v1,51200,256,0.0001,warmuplinear,500,True,32,8
0.8676,0.6636,0.8604,0.8651,sentence-transformers/all-mpnet-base-v2,6400,512,0.0001,warmuplinear,500,True,32,8
0.8671,0.6663,0.8457,0.8596,sentence-transformers/all-distilroberta-v1,12800,512,0.0001,warmuplinear,500,False,32,8
0.866,0.6683,0.8287,0.8529,sentence-transformers/all-distilroberta-v1,25600,256,0.0001,warmuplinear,500,False,32,8
0.8658,0.6852,0.7704,0.8324,BAAI/bge-base-en-v1.5,200,512,0.0001,warmuplinear,500,False,32,8
0.8652,0.6742,0.8009,0.8426,sentence-transformers/all-mpnet-base-v2,200,256,0.0001,warmuplinear,500,True,32,8
0.865,0.6636,0.8378,0.8555,all-MiniLM-L12-v2,51200,256,0.0001,warmuplinear,500,True,32,8
0.8648,0.6573,0.8613,0.8636,BAAI/bge-base-en-v1.5,6400,512,0.0001,warmuplinear,500,True,32,8
0.8647,0.6578,0.8583,0.8624,BAAI/bge-base-en-v1.5,12800,512,0.0001,warmuplinear,500,False,32,8
0.8632,0.6579,0.8443,0.8566,all-MiniLM-L12-v2,25600,512,0.0001,warmuplinear,500,True,32,8
0.863,0.66,0.8339,0.8528,BAAI/bge-base-en-v1.5,25600,512,0.0001,warmuplinear,500,False,32,8
0.8628,0.7904,0.5491,0.7528,sentence-transformers/all-mpnet-base-v2,100,512,0.0001,warmuplinear,500,True,32,8
0.8626,0.722,0.6548,0.7897,sentence-transformers/all-distilroberta-v1,100,512,0.0001,warmuplinear,500,False,32,8
0.862,0.7426,0.6122,0.7744,all-MiniLM-L12-v2,100,512,0.0001,warmuplinear,500,False,32,8
0.862,0.6468,0.8813,0.8688,sentence-transformers/all-mpnet-base-v2,6400,512,0.0001,warmuplinear,500,False,32,8
0.862,0.6524,0.8561,0.8599,all-MiniLM-L12-v2,12800,256,0.0001,warmuplinear,500,False,32,8
0.8617,0.6492,0.8674,0.8637,sentence-transformers/all-mpnet-base-v2,3200,256,0.0001,warmuplinear,500,True,32,8
0.8613,0.6592,0.8217,0.8474,sentence-transformers/all-distilroberta-v1,25600,256,0.0001,warmuplinear,500,True,32,8
0.86,0.6826,0.7313,0.8149,all-MiniLM-L12-v2,200,512,0.0001,warmuplinear,500,True,32,8
0.8598,0.6484,0.853,0.8574,all-MiniLM-L12-v2,12800,256,0.0001,warmuplinear,500,True,32,8
0.8586,0.6514,0.8287,0.8481,sentence-transformers/all-distilroberta-v1,12800,512,0.0001,warmuplinear,500,True,32,8
0.8579,0.6402,0.8726,0.8631,sentence-transformers/all-mpnet-base-v2,200,512,0.0001,warmuplinear,500,False,32,8
0.8578,0.6407,0.8691,0.8618,sentence-transformers/all-distilroberta-v1,6400,512,0.0001,warmuplinear,500,False,32,8
0.8576,0.67,0.7504,0.82,sentence-transformers/all-distilroberta-v1,200,256,0.0001,warmuplinear,500,True,32,8
0.8575,0.6578,0.793,0.8349,BAAI/bge-base-en-v1.5,400,512,0.0001,warmuplinear,500,True,32,8
0.8564,0.6398,0.8596,0.8575,BAAI/bge-base-en-v1.5,3200,256,0.0001,warmuplinear,500,True,32,8
0.8558,0.6385,0.86,0.8573,sentence-transformers/all-mpnet-base-v2,400,512,0.0001,warmuplinear,500,True,32,8
0.8557,0.6354,0.8743,0.8622,sentence-transformers/all-mpnet-base-v2,1600,256,0.0001,warmuplinear,500,True,32,8
0.8549,0.6419,0.8348,0.8478,sentence-transformers/all-distilroberta-v1,6400,256,0.0001,warmuplinear,500,True,32,8
0.8548,0.6304,0.8913,0.8676,sentence-transformers/all-mpnet-base-v2,1600,512,0.0001,warmuplinear,500,False,32,8
0.8545,0.6337,0.8709,0.8602,BAAI/bge-base-en-v1.5,6400,256,0.0001,warmuplinear,500,False,32,8
0.8528,0.6387,0.8287,0.8443,sentence-transformers/all-distilroberta-v1,200,256,0.0001,warmuplinear,500,False,32,8
0.8527,0.6358,0.8417,0.8489,sentence-transformers/all-distilroberta-v1,3200,512,0.0001,warmuplinear,500,True,32,8
0.8526,0.6308,0.8661,0.8573,BAAI/bge-base-en-v1.5,400,512,0.0001,warmuplinear,500,False,32,8
0.8525,0.6346,0.8457,0.8501,all-MiniLM-L12-v2,6400,256,0.0001,warmuplinear,500,True,32,8
0.8524,0.639,0.8235,0.8423,all-MiniLM-L12-v2,200,512,0.0001,warmuplinear,500,False,32,8
0.8521,0.6302,0.8639,0.8562,all-MiniLM-L12-v2,6400,512,0.0001,warmuplinear,500,False,32,8
0.8517,0.6234,0.8974,0.8677,sentence-transformers/all-mpnet-base-v2,400,512,0.0001,warmuplinear,500,False,32,8
0.8514,0.6257,0.8809,0.8617,sentence-transformers/all-mpnet-base-v2,800,512,0.0001,warmuplinear,500,True,32,8
0.8513,0.7794,0.493,0.7257,sentence-transformers/all-distilroberta-v1,100,256,0.0001,warmuplinear,500,True,32,8
0.8513,0.6234,0.8926,0.8658,BAAI/bge-base-en-v1.5,3200,512,0.0001,warmuplinear,500,False,32,8
0.8512,0.6287,0.8622,0.855,BAAI/bge-base-en-v1.5,1600,256,0.0001,warmuplinear,500,True,32,8
0.8502,0.8524,0.4217,0.7,BAAI/bge-base-en-v1.5,200,512,0.0001,warmuplinear,500,True,32,8
0.8499,0.6207,0.8935,0.8652,sentence-transformers/all-mpnet-base-v2,800,256,0.0001,warmuplinear,500,False,32,8
0.8499,0.6249,0.8691,0.8566,sentence-transformers/all-distilroberta-v1,400,512,0.0001,warmuplinear,500,False,32,8
0.8487,0.6186,0.8922,0.8639,sentence-transformers/all-mpnet-base-v2,3200,256,0.0001,warmuplinear,500,False,32,8
0.8479,0.6251,0.8461,0.8473,sentence-transformers/all-distilroberta-v1,1600,256,0.0001,warmuplinear,500,True,32,8
0.8478,0.6226,0.8591,0.8518,BAAI/bge-base-en-v1.5,800,256,0.0001,warmuplinear,500,True,32,8
0.8472,0.626,0.8339,0.8425,sentence-transformers/all-distilroberta-v1,400,256,0.0001,warmuplinear,500,True,32,8
0.8472,0.6149,0.8983,0.8651,BAAI/bge-base-en-v1.5,800,512,0.0001,warmuplinear,500,False,32,8
0.8469,0.621,0.8578,0.8507,all-MiniLM-L12-v2,3200,512,0.0001,warmuplinear,500,True,32,8
0.8448,0.613,0.8822,0.8579,sentence-transformers/all-distilroberta-v1,3200,256,0.0001,warmuplinear,500,False,32,8
0.8438,0.8289,0.4043,0.6897,all-MiniLM-L12-v2,100,512,0.0001,warmuplinear,500,True,32,8
0.8434,0.6107,0.88,0.8562,BAAI/bge-base-en-v1.5,1600,256,0.0001,warmuplinear,500,False,32,8
0.8432,0.6181,0.833,0.8396,all-MiniLM-L12-v2,400,256,0.0001,warmuplinear,500,True,32,8
0.8427,0.6106,0.8726,0.8532,sentence-transformers/all-distilroberta-v1,800,256,0.0001,warmuplinear,500,False,32,8
0.8427,0.612,0.8635,0.85,all-MiniLM-L12-v2,1600,512,0.0001,warmuplinear,500,True,32,8
0.8421,0.6101,0.8687,0.8514,sentence-transformers/all-distilroberta-v1,1600,256,0.0001,warmuplinear,500,False,32,8
0.8421,0.6094,0.873,0.853,all-MiniLM-L12-v2,400,512,0.0001,warmuplinear,500,False,32,8
0.8419,0.6096,0.8696,0.8516,all-MiniLM-L12-v2,3200,256,0.0001,warmuplinear,500,False,32,8
0.8418,0.6122,0.8517,0.8453,sentence-transformers/all-distilroberta-v1,800,256,0.0001,warmuplinear,500,True,32,8
0.8394,0.6013,0.8957,0.8591,all-MiniLM-L12-v2,1600,256,0.0001,warmuplinear,500,False,32,8
0.8387,0.6015,0.8848,0.8549,all-MiniLM-L12-v2,800,256,0.0001,warmuplinear,500,False,32,8
0.8371,0.6018,0.8626,0.846,all-MiniLM-L12-v2,800,512,0.0001,warmuplinear,500,True,32,8
0.8342,0.6178,0.7317,0.7983,jinaai/jina-embeddings-v2-small-en,102400,256,0.0001,warmuplinear,500,False,32,8
0.8242,0.5971,0.7243,0.7892,jinaai/jina-embeddings-v2-small-en,51200,512,0.0001,warmuplinear,500,False,32,8
0.8157,0.5798,0.7217,0.7828,jinaai/jina-embeddings-v2-small-en,25600,512,0.0001,warmuplinear,500,False,32,8
0.8148,0.5747,0.7496,0.7919,jinaai/jina-embeddings-v2-small-en,12800,512,0.0001,warmuplinear,500,False,32,8
0.8075,0.9067,0.1817,0.5881,BAAI/bge-base-en-v1.5,100,256,0.0001,warmuplinear,500,False,32,8
0.8007,0.6221,0.34,0.6392,jinaai/jina-embeddings-v2-small-en,400,512,0.0001,warmuplinear,500,False,32,8
0.8005,0.6134,0.3587,0.6456,jinaai/jina-embeddings-v2-small-en,800,256,0.0001,warmuplinear,500,True,32,8
0.7992,0.561,0.5835,0.7236,jinaai/jina-embeddings-v2-small-en,800,512,0.0001,warmuplinear,500,False,32,8
0.7966,0.5428,0.7335,0.7745,jinaai/jina-embeddings-v2-small-en,6400,512,0.0001,warmuplinear,500,False,32,8
0.7923,0.5343,0.7552,0.7793,jinaai/jina-embeddings-v2-small-en,3200,512,0.0001,warmuplinear,500,False,32,8
0.7889,0.5328,0.667,0.7461,jinaai/jina-embeddings-v2-small-en,102400,256,0.0001,warmuplinear,500,True,32,8
0.7873,0.5308,0.6487,0.7387,jinaai/jina-embeddings-v2-small-en,51200,256,0.0001,warmuplinear,500,True,32,8
0.7861,0.5291,0.637,0.7338,jinaai/jina-embeddings-v2-small-en,25600,256,0.0001,warmuplinear,500,True,32,8
0.7848,0.5268,0.6317,0.7311,jinaai/jina-embeddings-v2-small-en,12800,512,0.0001,warmuplinear,500,True,32,8
0.7844,0.5311,0.5343,0.6967,jinaai/jina-embeddings-v2-small-en,1600,256,0.0001,warmuplinear,500,True,32,8
0.7836,0.5265,0.5878,0.715,jinaai/jina-embeddings-v2-small-en,3200,512,0.0001,warmuplinear,500,True,32,8
0.7811,0.5198,0.6335,0.7293,jinaai/jina-embeddings-v2-small-en,6400,512,0.0001,warmuplinear,500,True,32,8
0.7788,0.5141,0.6952,0.7495,jinaai/jina-embeddings-v2-small-en,1600,256,0.0001,warmuplinear,500,False,32,8
0.7719,0.6022,0.0243,0.5098,jinaai/jina-embeddings-v2-small-en,400,512,0.0001,warmuplinear,500,True,32,8
0.77,0.0,0.0,0.5,BAAI/bge-base-en-v1.5,100,256,0.0001,warmuplinear,500,True,32,8
0.77,0.0,0.0,0.5,sentence-transformers/all-mpnet-base-v2,51200,256,0.0001,warmuplinear,500,False,32,8
0.77,0.0,0.0,0.5,jinaai/jina-embeddings-v2-small-en,200,512,0.0001,warmuplinear,500,True,32,8
0.77,0.0,0.0,0.5,jinaai/jina-embeddings-v2-small-en,200,256,0.0001,warmuplinear,500,False,32,8
0.77,0.0,0.0,0.5,sentence-transformers/all-mpnet-base-v2,102400,512,0.0001,warmuplinear,500,False,32,8
0.77,0.0,0.0,0.5,jinaai/jina-embeddings-v2-small-en,100,512,0.0001,warmuplinear,500,False,32,8
0.77,0.0,0.0,0.5,jinaai/jina-embeddings-v2-small-en,100,256,0.0001,warmuplinear,500,True,32,8
